Haus,house,Das ist mein Haus.,That is my house.,घर,वह मेरा घर है।
Buch,book,Das Buch ist interessant.,The book is interesting.,किताब,किताब दिलचस्प है.
Tisch,table,Der Tisch ist groß.,The table is big.,मेज़,मेज बड़ी है.
Stuhl,chair,Der Stuhl ist bequem.,The chair is comfortable.,कुर्सी,कुर्सी आरामदायक है.
Wasser,water,Ich trinke Wasser.,I drink water.,पानी,मैं पानी पीता हूं।
Essen,food,Das Essen ist lecker.,The food is tasty.,खाना,खाना स्वादिष्ट है.
Geld,money,Er hat kein Geld.,He has no money.,धन,उसके पास पैसे नहीं हैं.
Zeit,time,Ich habe keine Zeit.,I have no time.,समय,मेरे पास बिल्कुल समय नही है।
Tag,day,Heute ist ein schöner Tag.,Today is a beautiful day.,दिन,अाज का दिन सुंदर दिन है।
Nacht,night,Die Nacht ist dunkel.,The night is dark.,रात,रात अंधेरी है.
Stadt,city,Die Stadt ist groß.,The city is big.,शहर,शहर बड़ा है.
Arbeit,work/job,Ich gehe zur Arbeit.,I go to work.,कार्य नौकरी,मैं काम पर जाता हूँ।
Mensch,human/person,Jeder Mensch ist wichtig.,Every person is important.,मानव/व्यक्ति,हर व्यक्ति महत्वपूर्ण है.
Mann,man,Der Mann liest die Zeitung.,The man reads the newspaper.,आदमी,आदमी अखबार पढ़ता है.
Frau,woman,Die Frau spricht Deutsch.,The woman speaks German.,महिला,महिला जर्मन बोलती है.
Kind,child,Das Kind spielt draußen.,The child plays outside.,बच्चा,बच्चा बाहर खेलता है.
Eltern,parents,Meine Eltern sind nett.,My parents are nice.,अभिभावक,मेरे माता-पिता अच्छे हैं.
Bruder,brother,Mein Bruder schläft.,My brother is sleeping.,भाई,मेरा भाई सो रहा है.
Schwester,sister,Meine Schwester lernt.,My sister is studying.,बहन,मेरी बहन पढ़ रही है.
Familie,family,Meine Familie ist groß.,My family is big.,परिवार,मेरा परिवार बड़ा है.
Name,name,Mein Name ist Anna.,My name is Anna.,नाम,मेरा नाम एना है।
Ding,thing,Das ist ein gutes Ding.,That is a good thing.,चीज़,यह एक अच्छी बात है।
Sache,matter/thing,Die Sache ist wichtig.,The matter is important.,बात/बात,मामला महत्वपूर्ण है.
