Haus,house,Das ist mein Haus.,That is my house.
Buch,book,Das Buch ist interessant.,The book is interesting.
Tisch,table,Der Tisch ist groß.,The table is big.
Stuhl,chair,Der Stuhl ist bequem.,The chair is comfortable.
Wasser,water,Ich trinke Wasser.,I drink water.
Essen,food,Das Essen ist lecker.,The food is tasty.
Geld,money,Er hat kein Geld.,He has no money.
Zeit,time,Ich habe keine Zeit.,I have no time.
Tag,day,Heute ist ein schöner Tag.,Today is a beautiful day.
Nacht,night,Die Nacht ist dunkel.,The night is dark.
Stadt,city,Die Stadt ist groß.,The city is big.
Arbeit,work/job,Ich gehe zur Arbeit.,I go to work.
Mensch,human/person,Jeder Mensch ist wichtig.,Every person is important.
Mann,man,Der Mann liest die Zeitung.,The man reads the newspaper.
Frau,woman,Die Frau spricht Deutsch.,The woman speaks German.
Kind,child,Das Kind spielt draußen.,The child plays outside.
Eltern,parents,Meine Eltern sind nett.,My parents are nice.
Bruder,brother,Mein Bruder schläft.,My brother is sleeping.
Schwester,sister,Meine Schwester lernt.,My sister is studying.
Familie,family,Meine Familie ist groß.,My family is big.
Name,name,Mein Name ist Anna.,My name is Anna.
Ding,thing,Das ist ein gutes Ding.,That is a good thing.
Sache,matter/thing,Die Sache ist wichtig.,The matter is important.
Land,country,Deutschland ist ein Land.,Germany is a country.
Straße,street,Die Straße ist lang.,The street is long.
Platz,place/square,Der Platz ist leer.,The square is empty.
Park,park,Der Park ist schön.,The park is beautiful.
Schule,school,Die Schule ist groß.,The school is big.
Universität,university,Die Universität ist alt.,The university is old.
Krankenhaus,hospital,Das Krankenhaus ist neu.,The hospital is new.
Geschäft,shop/store,Das Geschäft ist offen.,The shop is open.
Supermarkt,supermarket,Der Supermarkt ist nah.,The supermarket is near.
Käse,cheese,Der Käse schmeckt gut.,The cheese tastes good.
Obst,fruit,Obst ist gesund.,Fruit is healthy.
Gemüse,vegetables,Gemüse ist frisch.,Vegetables are fresh.
Kaffee,coffee,Ich trinke Kaffee.,I drink coffee.
Tee,tea,Tee ist heiß.,Tea is hot.
Bier,beer,Bier ist kalt.,Beer is cold.
Wein,wine,Der Wein ist rot.,The wine is red.
Licht,light,Das Licht ist hell.,The light is bright.
Sonne,sun,Die Sonne scheint.,The sun is shining.
Mond,moon,Der Mond ist rund.,The moon is round.
Stern,star,Der Stern leuchtet.,The star shines.
Himmel,sky,Der Himmel ist blau.,The sky is blue.
Wind,wind,Der Wind ist stark.,The wind is strong.
Regen,rain,Der Regen ist stark.,The rain is heavy.
Schnee,snow,Der Schnee ist weiß.,The snow is white.
Wald,forest,Der Wald ist groß.,The forest is big.
Fluss,river,Der Fluss ist lang.,The river is long.
See,lake,Der See ist tief.,The lake is deep.
Meer,sea,Das Meer ist weit.,The sea is wide.
Strand,beach,Der Strand ist leer.,The beach is empty.
Zimmer,room,Das Zimmer ist klein.,The room is small.
Schlafzimmer,bedroom,Das Schlafzimmer ist ruhig.,The bedroom is quiet.
Küche,kitchen,Die Küche ist sauber.,The kitchen is clean.
Bad,bathroom,Das Bad ist groß.,The bathroom is big.
Toilette,toilet,Die Toilette ist frei.,The toilet is free.
Bett,bed,Das Bett ist weich.,The bed is soft.
Computer,computer,Der Computer ist alt.,The computer is old.
Handy,mobile phone,Mein Handy ist neu.,My mobile phone is new.
Uhr,clock/watch,Die Uhr ist teuer.,The watch is expensive.
Brille,glasses,Meine Brille ist kaputt.,My glasses are broken.
Kleidung,clothes,Die Kleidung ist schön.,The clothes are nice.
Kopf,head,Mein Kopf tut weh.,My head hurts.
Hand,hand,Meine Hand ist kalt.,My hand is cold.
Fuß,foot,Mein Fuß tut weh.,My foot hurts.
Auge,eye,Mein Auge ist blau.,My eye is blue.
Ohr,ear,Mein Ohr hört Musik.,My ear hears music.
Nase,nose,Meine Nase ist klein.,My nose is small.
Mund,mouth,Der Mund ist offen.,The mouth is open.
Haar,hair,Dein Haar ist lang.,Your hair is long.
Gesicht,face,Dein Gesicht ist schön.,Your face is beautiful.
Körper,body,Der Körper ist gesund.,The body is healthy.
Arzt,doctor,Der Arzt ist nett.,The doctor is nice.
Lehrer,teacher,Der Lehrer erklärt gut.,The teacher explains well.
Student,student,Der Student lernt viel.,The student studies a lot.
Problem,problem,Das Problem ist klein.,The problem is small.
Lösung,solution,Die Lösung ist einfach.,The solution is simple.
Idee,idea,Das ist eine gute Idee.,That is a good idea.
Frage,question,Ich habe eine Frage.,I have a question.
Antwort,answer,Die Antwort ist richtig.,The answer is correct.
Gefühl,feeling,Das Gefühl ist stark.,The feeling is strong.
Gedanke,thought,Dein Gedanke ist klug.,Your thought is smart.
Traum,dream,Der Traum war schön.,The dream was beautiful.
Leben,life,Das Leben ist kurz.,Life is short.
Tod,death,Der Tod ist still.,Death is silent.
Urlaub,vacation,Der Urlaub ist bald.,The vacation is soon.
Reise,trip/journey,Die Reise ist lang.,The trip is long.
Sport,sport,Sport ist gesund.,Sport is healthy.
Spiel,game,Das Spiel macht Spaß.,The game is fun.
Musik,music,Musik ist schön.,Music is beautiful.
Film,movie,Der Film ist spannend.,The movie is exciting.
Zeitung,newspaper,Die Zeitung ist neu.,The newspaper is new.
Nachricht,message/news,Ich habe eine Nachricht.,I have a message.
Brief,letter,Der Brief ist lang.,The letter is long.
Wort,word,Das Wort ist schwer.,The word is difficult.
Satz,sentence,Der Satz ist kurz.,The sentence is short.
Sprache,language,Die Sprache ist schwer.,The language is difficult.
Beispiel,example,Das ist ein Beispiel.,That is an example.
Minute,minute,Eine Minute ist kurz.,A minute is short.
Stunde,hour,Eine Stunde ist lang.,An hour is long.
Woche,week,Die Woche ist vorbei.,The week is over.
Monat,month,Der Monat ist kalt.,The month is cold.
Jahr,year,Das Jahr ist neu.,The year is new.
Party,party,Die Party ist heute.,The party is today.
Geschenk,gift,Das Geschenk ist teuer.,The gift is expensive.
Preis,price/prize,Der Preis ist hoch.,The price is high.
Größe,size,Die Größe ist klein.,The size is small.
Farbe,color,Die Farbe ist rot.,The color is red.
jeden Tag,every day,Ich lerne jeden Tag.,I study every day.
unfreundlich,unfriendly,Der Mann ist unfreundlich.,The man is unfriendly.
heute,today,Heute ist schön.,Today is nice.
toll,great,Das Essen ist toll.,The food is great.
prima,excellent,Der Film war prima.,The movie was excellent.
fantastisch,fantastic,Das ist fantastisch!,That is fantastic!
es geht,so-so / it’s okay,Mir geht es. Es geht.,I’m okay / so-so.
miserabel,miserable,Das Wetter ist miserabel.,The weather is miserable.
furchtbar,terrible,Das Essen ist furchtbar.,The food is terrible.
müde,tired,Ich bin müde.,I am tired.
krank,sick,Er ist krank.,He is sick.
wunderbar,wonderful,Die Stadt ist wunderbar.,The city is wonderful.
U-Bahn,subway,Die U-Bahn kommt.,The subway is coming.
Telefon,telephone,Das Telefon klingelt.,The phone is ringing.
Tür,door,Die Tür ist offen.,The door is open.
Fenster,window,Das Fenster ist zu.,The window is closed.
Tasche,bag,Die Tasche ist schwer.,The bag is heavy.
Stift,pen,Der Stift ist blau.,The pen is blue.
große Flasche,big bottle,Ich habe eine große Flasche Wasser.,I have a big bottle of water.
Boden,floor/ground,Der Boden ist nass.,The floor is wet.
Apfel,apple,Der Apfel ist rot.,The apple is red.
Sandwich,sandwich,Ich esse ein Sandwich.,I eat a sandwich.
Restaurant,restaurant,Das Restaurant ist voll.,The restaurant is full.
Paket,package,Das Paket ist hier.,The package is here.
Bargeld,cash,Ich habe kein Bargeld.,I have no cash.
ungesund,unhealthy,Das Essen ist ungesund.,The food is unhealthy.
dabei,with it / included,Ich bin dabei.,I am in / I join.
Sprudelwasser,sparkling water,Ich trinke Sprudelwasser.,I drink sparkling water.
gern,gladly / like to,Ich lese gern.,I like to read.
danke schön,thank you very much,Danke schön für alles.,Thank you very much for everything.
Speisekarte,menu,"Die Speisekarte, bitte.","The menu, please."
immer,always,Ich bin immer pünktlich.,I am always on time.
zurück,back,Ich komme zurück.,I come back.
Kellner,waiter,Der Kellner ist freundlich.,The waiter is friendly.
Geburtstag,birthday,Heute ist mein Geburtstag.,Today is my birthday.
gemeinsam,together,Wir essen gemeinsam.,We eat together.
kühlen,to cool,Das Wasser kühlt schnell.,The water cools quickly.
besser,better,Mir geht es besser.,I feel better.
Mode,fashion,Mode ist wichtig.,Fashion is important.
Brillen,glasses,Ich trage Brillen.,I wear glasses.
sage,(I) say,Ich sage die Wahrheit.,I say the truth.
Antwort,answer,Deine Antwort ist richtig.,Your answer is correct.
sehe,(I) see,Ich sehe dich.,I see you.
hier,here,Ich bin hier.,I am here.
Schlüssel,key,Der Schlüssel ist neu.,The key is new.
offen,open,Das Fenster ist offen.,The window is open.
Kuchen,cake,Der Kuchen ist süß.,The cake is sweet.
Bild,picture,Das Bild ist schön.,The picture is beautiful.
Hilfe,help,"Hilfe, bitte!","Help, please!"
Geschichte,story / history,Die Geschichte ist lang.,The story is long.
jetzt,now,Ich mache es jetzt.,I do it now.
Thema,topic,Das Thema ist interessant.,The topic is interesting.
Rechnung,bill,"Die Rechnung, bitte.","The bill, please."
Oma,grandma,Meine Oma ist nett.,My grandma is nice.
Blumen,flowers,Die Blumen sind schön.,The flowers are beautiful.
laut,loud,Das Radio ist laut.,The radio is loud.
leise,quiet,Die Musik ist leise.,The music is quiet.
spinnen,to spin / spiders,Spinnen machen Netze.,Spiders make webs.
Glück,luck / happiness,Viel Glück!,Good luck!
Flasche,bottle,Die Flasche ist voll.,The bottle is full.
Wand,wall,Die Wand ist weiß.,The wall is white.
Jacke,jacket,Die Jacke ist neu.,The jacket is new.
tief,deep,Der See ist tief.,The lake is deep.
Zähne,teeth,Meine Zähne sind weiß.,My teeth are white.
Suppe,soup,Die Suppe ist heiß.,The soup is hot.
Fleisch,meat,Fleisch ist teuer.,Meat is expensive.
schnell,fast,Der Hund läuft schnell.,The dog runs fast.
früh,early,Ich stehe früh auf.,I get up early.
heute Abend,this evening,Heute Abend gehe ich ins Kino.,This evening I go to the cinema.
gerne,gladly / like to,Ich esse gerne Pizza.,I like to eat pizza.
Lied,song,Das Lied ist schön.,The song is beautiful.
Baum,tree,Der Baum ist alt.,The tree is old.
Sonnenuntergang,sunset,Der Sonnenuntergang ist rot.,The sunset is red.
vor,in front of / before,Das Auto steht vor dem Haus.,The car is in front of the house.
Mädchen,girl,Das Mädchen lacht.,The girl laughs.
Junge,boy,Der Junge spielt.,The boy plays.
hungrig,hungry,Ich bin hungrig.,I am hungry.
Ankunft,arrival,Die Ankunft ist pünktlich.,The arrival is on time.
einfach,simple / easy,Das ist einfach.,That is easy.
Tanz,dance,Der Tanz ist schön.,The dance is beautiful.
Großhandel,wholesale,Der Großhandel ist günstig.,The wholesale is cheap.
Berg,mountain,Der Berg ist hoch.,The mountain is high.
Hund,dog,Der Hund bellt.,The dog barks.
Katze,cat,Die Katze schläft.,The cat is sleeping.
Markt,market,Der Markt ist voll.,The market is crowded.
Bahnhof,train station,Der Bahnhof ist groß.,The train station is big.
Flughafen,airport,Der Flughafen ist weit.,The airport is far.
Zug,train,Der Zug ist schnell.,The train is fast.
Bus,bus,Der Bus kommt spät.,The bus comes late.
Kino,cinema,Das Kino ist leer.,The cinema is empty.
Kleid,dress,Das Kleid ist schön.,The dress is beautiful.
Schuhe,shoes,Die Schuhe sind neu.,The shoes are new.
Lampe,lamp,Die Lampe ist hell.,The lamp is bright.
Baby,baby,Das Baby schläft.,The baby is sleeping.
Insel,island,Die Insel ist klein.,The island is small.
Feuer,fire,Das Feuer ist heiß.,The fire is hot.
Erde,earth/soil,Die Erde ist braun.,The soil is brown.
Luft,air,Die Luft ist frisch.,The air is fresh.
Hafen,harbor/port,Der Hafen ist groß.,The harbor is big.
Schiff,ship,Das Schiff ist alt.,The ship is old.
Boot,boat,Das Boot ist klein.,The boat is small.
Brücke,bridge,Die Brücke ist lang.,The bridge is long.
Hausaufgabe,homework,Ich mache die Hausaufgabe.,I do the homework.
Büro,office,Das Büro ist modern.,The office is modern.
Chef,boss,Mein Chef ist streng.,My boss is strict.
Kollege,colleague (m),Mein Kollege hilft mir.,My colleague helps me.
Kundin,customer (f),Die Kundin ist freundlich.,The customer is friendly.
Firma,company,Die Firma ist groß.,The company is big.
Projekt,project,Das Projekt ist neu.,The project is new.
Vertrag,contract,Der Vertrag ist wichtig.,The contract is important.
Termin,appointment,Ich habe einen Termin.,I have an appointment.
Besprechung,meeting,Die Besprechung ist morgen.,The meeting is tomorrow.
Telefonat,phone call,Das Telefonat ist lang.,The phone call is long.
E-Mail,email,Ich schreibe eine E-Mail.,I write an email.
Post,mail / post,Die Post ist hier.,The mail is here.
